gvkey,gvkeyx,from,thru,tic,co_conm,co_tic,co_cik
1078,3,19640331,,I0003,ABBOTT LABORATORIES,ABT,1800
1300,3,19640331,,I0003,HONEYWELL INTERNATIONAL INC,HON,773840
1440,3,19640331,,I0003,AMERICAN ELECTRIC POWER CO,AEP,4904
2285,3,19640331,,I0003,BOEING CO,BA,12927
2403,3,19640331,,I0003,BRISTOL-MYERS SQUIBB CO,BMY,14272
2663,3,19640331,,I0003,CAMPBELL SOUP CO,CPB,16732
2817,3,19640331,,I0003,CATERPILLAR INC,CAT,18230
2991,3,19640331,,I0003,CHEVRON CORP,CVX,93410
3144,3,19640331,,I0003,COCA-COLA CO,KO,21344
3170,3,19640331,,I0003,COLGATE-PALMOLIVE CO,CL,21665
3413,3,19640331,,I0003,CONSOLIDATED EDISON INC,ED,1047862
3532,3,19640331,,I0003,CORNING INC,GLW,24741
3835,3,19640331,,I0003,DEERE & CO,DE,315189
3897,3,19640331,,I0003,DTE ENERGY CO,DTE,936340
4029,3,19640331,,I0003,DOMINION ENERGY INC,D,715957
4060,3,19640331,,I0003,DOWDUPONT INC,DWDP,1666700
4199,3,19640331,,I0003,EATON CORP PLC,ETN,1551182
4503,3,19640331,,I0003,EXXON MOBIL CORP,XOM,34088
4839,3,19640331,,I0003,FORD MOTOR CO,F,37996
5046,3,19640331,,I0003,GENERAL DYNAMICS CORP,GD,40533
5047,3,19640331,,I0003,GENERAL ELECTRIC CO,GE,40545
5234,3,19640331,,I0003,GOODYEAR TIRE & RUBBER CO,GT,42582
5439,3,19640331,,I0003,HALLIBURTON CO,HAL,45012
5597,3,19640331,,I0003,HERSHEY CO,HSY,47111
6066,3,19640331,,I0003,INTL BUSINESS MACHINES CORP,IBM,51143
6104,3,19640331,,I0003,INTL PAPER CO,IP,51434
6375,3,19640331,,I0003,KELLOGG CO,K,55067
6435,3,19640331,,I0003,KIMBERLY-CLARK CORP,KMB,55785
6502,3,19640331,,I0003,KROGER CO,KR,56873
7163,3,19640331,,I0003,S&P GLOBAL INC,SPGI,64040
7241,3,19640331,,I0003,CVS HEALTH CORP,CVS,64803
7257,3,19640331,,I0003,MERCK & CO,MRK,310158
7366,3,19640331,,I0003,ENTERGY CORP,ETR,65984
7435,3,19640331,,I0003,3M CO,MMM,66740
7585,3,19640331,,I0003,MOTOROLA SOLUTIONS INC,MSI,68505
7923,3,19640331,,I0003,NORFOLK SOUTHERN CORP,NSC,702165
7977,3,19640331,,I0003,XCEL ENERGY INC,XEL,72903
8099,3,19640331,,I0003,FIRSTENERGY CORP,FE,1031296
8247,3,19640331,,I0003,PPG INDUSTRIES INC,PPG,79879
8264,3,19640331,,I0003,PG&E CORP,PCG,1004980
8272,3,19640331,,I0003,SEMPRA ENERGY,SRE,1032208
8479,3,19640331,,I0003,PEPSICO INC,PEP,77476
8530,3,19640331,,I0003,PFIZER INC,PFE,78003
8539,3,19640331,,I0003,EXELON CORP,EXC,1109357
8543,3,19640331,,I0003,ALTRIA GROUP INC,MO,764180
8549,3,19640331,,I0003,CONOCOPHILLIPS,COP,1163165
8762,3,19640331,,I0003,PROCTER & GAMBLE CO,PG,80424
8810,3,19640331,,I0003,PUBLIC SERVICE ENTRP GRP INC,PEG,788784
8972,3,19640331,,I0003,RAYTHEON CO,RTN,1047122
9203,3,19640331,,I0003,ROCKWELL AUTOMATION,ROK,1024478
9846,3,19640331,,I0003,EDISON INTERNATIONAL,EIX,827052
9850,3,19640331,,I0003,SOUTHERN CO,SO,92122
10499,3,19640331,,I0003,TEXAS INSTRUMENTS INC,TXN,97476
10867,3,19640331,,I0003,UNION PACIFIC CORP,UNP,100885
10983,3,19640331,,I0003,UNITED TECHNOLOGIES CORP,UTX,101829
11456,3,19640331,,I0003,WEYERHAEUSER CO,WY,106535
11465,3,19640331,,I0003,WHIRLPOOL CORP,WHR,106640
11636,3,19640331,,I0003,XEROX CORP,XRX,108772
1995,3,19640331,20120313,I0003,CONSTELLATION ENERGY GRP INC,CEG,1004440
5229,3,19640331,20120730,I0003,GOODRICH CORP,GR,42542
5568,3,19640331,20130606,I0003,KRAFT HEINZ CO,KHC,1637459
8446,3,19640331,20131201,I0003,PENNEY (J C) CO,JCP,1166126
1408,3,19640331,20140430,I0003,BEAM INC,BEAM,789073
11446,3,19640331,20150701,I0003,MEADWESTVACO CORP,MWV,1159297
1356,3,19640331,20161031,I0003,ALCOA INC,AA.3,
8606,3,19640331,20170228,I0003,PITNEY BOWES INC,PBI,78814
1976,3,19640331,20170704,I0003,BAKER HUGHES INC,BHI,808362
4087,3,19640331,20170831,I0003,DU PONT (E I) DE NEMOURS,DD,30554
9667,3,19640630,,I0003,SHERWIN-WILLIAMS CO,SHW,89800
3650,3,19650331,,I0003,CUMMINS INC,CMI,26172
4321,3,19650331,,I0003,EMERSON ELECTRIC CO,EMR,32604
9465,3,19650331,,I0003,SCHLUMBERGER LTD,SLB,87347
1920,3,19670630,20150322,I0003,AVON PRODUCTS,AVP,8868
2574,3,19670930,,I0003,CSX CORP,CSX,277948
3121,3,19690331,,I0003,CLOROX CO/DE,CLX,21076
5071,3,19690331,,I0003,GENERAL MILLS INC,GIS,40704
10156,3,19690331,20121004,I0003,SUNOCO INC,SUN.1,95304
7881,3,19690630,,I0003,NEWMONT MINING CORP,NEM,1164727
7154,3,19700630,,I0003,MCDONALD'S CORP,MCD,63908
6730,3,19701231,,I0003,LILLY (ELI) & CO,LLY,59478
2086,3,19720930,,I0003,BAXTER INTERNATIONAL INC,BAX,10456
2111,3,19720930,,I0003,BECTON DICKINSON & CO,BDX,10795
6266,3,19730630,,I0003,JOHNSON & JOHNSON,JNJ,200406
5125,3,19731231,,I0003,GENUINE PARTS CO,GPC,40987
5606,3,19741231,,I0003,HP INC,HPQ,47217
11506,3,19750331,,I0003,WILLIAMS COS INC,WMB,107263
2044,3,19750630,20180102,I0003,BARD (C.R.) INC,BCR,9892
4988,3,19751231,20170601,I0003,TEGNA INC,TGNA,39899
6078,3,19760331,,I0003,INTL FLAVORS & FRAGRANCES,IFF,51253
1177,3,19760630,,I0003,AETNA INC,AET,1122304
1447,3,19760630,,I0003,AMERICAN EXPRESS CO,AXP,4962
2547,3,19760630,,I0003,CIGNA CORP,CI,701221
2968,3,19760630,,I0003,JPMORGAN CHASE & CO,JPM,19617
3505,3,19760630,,I0003,MOLSON COORS BREWING CO,TAP,24545
3980,3,19760630,,I0003,DISNEY (WALT) CO,DIS,1001039
4093,3,19760630,,I0003,DUKE ENERGY CORP,DUK,1326160
4517,3,19760630,,I0003,NEXTERA ENERGY INC,NEE,753308
6742,3,19760630,,I0003,LINCOLN NATIONAL CORP,LNC,59558
7647,3,19760630,,I0003,BANK OF AMERICA CORP,BAC,70858
8007,3,19760630,,I0003,WELLS FARGO & CO,WFC,72971
3024,3,19760630,20160118,I0003,CHUBB CORP,CB.1,20171
3813,3,19761231,,I0003,TARGET CORP,TGT,27419
6008,3,19761231,,I0003,INTEL CORP,INTC,50863
2154,3,19780930,20141204,I0003,BEMIS CO INC,BMS,11199
10519,3,19781231,,I0003,TEXTRON INC,TXT,217346
10405,3,19781231,20150701,I0003,ALLEGHENY TECHNOLOGIES INC,ATI,1018963
7750,3,19790331,20160417,I0003,TENET HEALTHCARE CORP,THC,70318
11060,3,19790630,,I0003,VF CORP,VFC,103379
