gvkey,iid,gvkeyx,from,thru,conm,indextype,tic,spii,spmi,indexcat,co_conm,co_tic,co_cusip,co_cik,co_sic,co_naics
1078,1,3,19640331,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,ABBOTT LABORATORIES,ABT,2824100,1800,2834,325412
1300,1,3,19640331,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,HONEYWELL INTERNATIONAL INC,HON,438516106,773840,9997,336413
1440,1,3,19640331,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,AMERICAN ELECTRIC POWER CO,AEP,25537101,4904,4911,2211
2285,1,3,19640331,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,BOEING CO,BA,97023105,12927,3721,336411
2403,1,3,19640331,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,BRISTOL-MYERS SQUIBB CO,BMY,110122108,14272,2834,325412
2663,1,3,19640331,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,CAMPBELL SOUP CO,CPB,134429109,16732,2030,311422
2817,1,3,19640331,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,CATERPILLAR INC,CAT,149123101,18230,3531,333120
2991,1,3,19640331,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,CHEVRON CORP,CVX,166764100,93410,2911,324110
3144,1,3,19640331,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,COCA-COLA CO,KO,191216100,21344,2086,312111
3170,1,3,19640331,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,COLGATE-PALMOLIVE CO,CL,194162103,21665,2844,325611
3413,1,3,19640331,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,CONSOLIDATED EDISON INC,ED,209115104,1047862,4931,22111
3532,1,3,19640331,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,CORNING INC,GLW,219350105,24741,3679,334419
3835,1,3,19640331,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,DEERE & CO,DE,244199105,315189,3523,333111
3897,1,3,19640331,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,DTE ENERGY CO,DTE,233331107,936340,4931,2211
4029,1,3,19640331,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,DOMINION ENERGY INC,D,25746U109,715957,4911,22111
4060,1,3,19640331,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,DOWDUPONT INC,DWDP,26078J100,1666700,2821,325211
4199,1,3,19640331,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,EATON CORP PLC,ETN,G29183103,1551182,3620,335314
4503,1,3,19640331,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,EXXON MOBIL CORP,XOM,30231G102,34088,2911,324110
4839,1,3,19640331,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,FORD MOTOR CO,F,345370860,37996,3711,33611
5046,1,3,19640331,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,GENERAL DYNAMICS CORP,GD,369550108,40533,3721,336411
5047,1,3,19640331,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,GENERAL ELECTRIC CO,GE,369604103,40545,9997,999977
5234,1,3,19640331,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,GOODYEAR TIRE & RUBBER CO,GT,382550101,42582,3011,326211
5439,1,3,19640331,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,HALLIBURTON CO,HAL,406216101,45012,1389,213112
5597,1,3,19640331,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,HERSHEY CO,HSY,427866108,47111,2060,311351
6066,1,3,19640331,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,INTL BUSINESS MACHINES CORP,IBM,459200101,51143,7370,519130
6104,1,3,19640331,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,INTL PAPER CO,IP,460146103,51434,2631,322130
6375,1,3,19640331,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,KELLOGG CO,K,487836108,55067,2040,311230
6435,1,3,19640331,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,KIMBERLY-CLARK CORP,KMB,494368103,55785,2621,322121
6502,1,3,19640331,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,KROGER CO,KR,501044101,56873,5411,445110
7163,1,3,19640331,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,S&P GLOBAL INC,SPGI,78409V104,64040,7323,561450
7241,1,3,19640331,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,CVS HEALTH CORP,CVS,126650100,64803,5912,446110
7257,1,3,19640331,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,MERCK & CO,MRK,58933Y105,310158,2834,325412
7366,1,3,19640331,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,ENTERGY CORP,ETR,29364G103,65984,4911,22111
7435,1,3,19640331,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,3M CO,MMM,88579Y101,66740,2670,322220
7585,1,3,19640331,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,MOTOROLA SOLUTIONS INC,MSI,620076307,68505,3663,334220
7923,1,3,19640331,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,NORFOLK SOUTHERN CORP,NSC,655844108,702165,4011,482111
7977,1,3,19640331,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,XCEL ENERGY INC,XEL,98389B100,72903,4931,2211
8099,1,3,19640331,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,FIRSTENERGY CORP,FE,337932107,1031296,4911,22111
8247,1,3,19640331,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,PPG INDUSTRIES INC,PPG,693506107,79879,2851,325510
8264,1,3,19640331,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,PG&E CORP,PCG,69331C108,1004980,4931,2211
8272,1,3,19640331,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,SEMPRA ENERGY,SRE,816851109,1032208,4931,22111
