gvkey,gvkeyx,from,thru,tic,co_conm,co_tic,co_cik
1078,3,19640331,,I0003,ABBOTT LABORATORIES,ABT,1800
1300,3,19640331,,I0003,HONEYWELL INTERNATIONAL INC,HON,773840
1440,3,19640331,,I0003,AMERICAN ELECTRIC POWER CO,AEP,4904
2285,3,19640331,,I0003,BOEING CO,BA,12927
2403,3,19640331,,I0003,BRISTOL-MYERS SQUIBB CO,BMY,14272
2663,3,19640331,,I0003,CAMPBELL SOUP CO,CPB,16732
2817,3,19640331,,I0003,CATERPILLAR INC,CAT,18230
2991,3,19640331,,I0003,CHEVRON CORP,CVX,93410
3144,3,19640331,,I0003,COCA-COLA CO,KO,21344
3170,3,19640331,,I0003,COLGATE-PALMOLIVE CO,CL,21665
3413,3,19640331,,I0003,CONSOLIDATED EDISON INC,ED,1047862
3532,3,19640331,,I0003,CORNING INC,GLW,24741
3835,3,19640331,,I0003,DEERE & CO,DE,315189
3897,3,19640331,,I0003,DTE ENERGY CO,DTE,936340
4029,3,19640331,,I0003,DOMINION ENERGY INC,D,715957
4060,3,19640331,,I0003,DOWDUPONT INC,DWDP,1666700
4199,3,19640331,,I0003,EATON CORP PLC,ETN,1551182
4503,3,19640331,,I0003,EXXON MOBIL CORP,XOM,34088
4839,3,19640331,,I0003,FORD MOTOR CO,F,37996
5046,3,19640331,,I0003,GENERAL DYNAMICS CORP,GD,40533
5047,3,19640331,,I0003,GENERAL ELECTRIC CO,GE,40545
5234,3,19640331,,I0003,GOODYEAR TIRE & RUBBER CO,GT,42582
5439,3,19640331,,I0003,HALLIBURTON CO,HAL,45012
5597,3,19640331,,I0003,HERSHEY CO,HSY,47111
6066,3,19640331,,I0003,INTL BUSINESS MACHINES CORP,IBM,51143
6104,3,19640331,,I0003,INTL PAPER CO,IP,51434
6375,3,19640331,,I0003,KELLOGG CO,K,55067
6435,3,19640331,,I0003,KIMBERLY-CLARK CORP,KMB,55785
6502,3,19640331,,I0003,KROGER CO,KR,56873
7163,3,19640331,,I0003,S&P GLOBAL INC,SPGI,64040
7241,3,19640331,,I0003,CVS HEALTH CORP,CVS,64803
7257,3,19640331,,I0003,MERCK & CO,MRK,310158
7366,3,19640331,,I0003,ENTERGY CORP,ETR,65984
7435,3,19640331,,I0003,3M CO,MMM,66740
7585,3,19640331,,I0003,MOTOROLA SOLUTIONS INC,MSI,68505
7923,3,19640331,,I0003,NORFOLK SOUTHERN CORP,NSC,702165
7977,3,19640331,,I0003,XCEL ENERGY INC,XEL,72903
8099,3,19640331,,I0003,FIRSTENERGY CORP,FE,1031296
8247,3,19640331,,I0003,PPG INDUSTRIES INC,PPG,79879
8264,3,19640331,,I0003,PG&E CORP,PCG,1004980
8272,3,19640331,,I0003,SEMPRA ENERGY,SRE,1032208
8479,3,19640331,,I0003,PEPSICO INC,PEP,77476
8530,3,19640331,,I0003,PFIZER INC,PFE,78003
8539,3,19640331,,I0003,EXELON CORP,EXC,1109357
8543,3,19640331,,I0003,ALTRIA GROUP INC,MO,764180
8549,3,19640331,,I0003,CONOCOPHILLIPS,COP,1163165
8762,3,19640331,,I0003,PROCTER & GAMBLE CO,PG,80424
8810,3,19640331,,I0003,PUBLIC SERVICE ENTRP GRP INC,PEG,788784
8972,3,19640331,,I0003,RAYTHEON CO,RTN,1047122
9203,3,19640331,,I0003,ROCKWELL AUTOMATION,ROK,1024478
9846,3,19640331,,I0003,EDISON INTERNATIONAL,EIX,827052
9850,3,19640331,,I0003,SOUTHERN CO,SO,92122
10499,3,19640331,,I0003,TEXAS INSTRUMENTS INC,TXN,97476
10867,3,19640331,,I0003,UNION PACIFIC CORP,UNP,100885
10983,3,19640331,,I0003,UNITED TECHNOLOGIES CORP,UTX,101829
11456,3,19640331,,I0003,WEYERHAEUSER CO,WY,106535
11465,3,19640331,,I0003,WHIRLPOOL CORP,WHR,106640
11636,3,19640331,,I0003,XEROX CORP,XRX,108772
3419,3,19640331,20000130,I0003,CONSOLIDATED NATURAL GAS CO,D2,23738
4864,3,19640331,20000130,I0003,FOSTER WHEELER AG,FWLT,1130385
1848,3,19640331,20000417,I0003,ATLANTIC RICHFIELD CO,ARC.3,775483
9114,3,19640331,20000504,I0003,REYNOLDS METALS CO,RLM.1,83604
11436,3,19640331,20000504,I0003,CBS CORP -OLD,CBS.2,106413
7938,3,19640331,20000604,I0003,NACCO INDUSTRIES  -CL A,NC,789933
2847,3,19640331,20000615,I0003,CENTRAL & SOUTH WEST CORP,CSR.1,18540
11288,3,19640331,20000620,I0003,WARNER-LAMBERT CO,WLA,104669
3041,3,19640331,20000628,I0003,MILACRON INC,MZIAQ,716823
4961,3,19640331,20000702,I0003,GTE CORP,GTE.1,40858
5301,3,19640331,20000829,I0003,GREAT ATLANTIC & PAC TEA CO,GAPTQ,43300
8214,3,19640331,20001001,I0003,OWENS CORNING,OC,1370946
2562,3,19640331,20001002,I0003,BESTFOODS,BFO.2,
3255,3,19640331,20001022,I0003,UNICOM CORP,UCM.2,918040
3206,3,19640331,20001101,I0003,COLUMBIA ENERGY GROUP,NI2,22099
1762,3,19640331,20001116,I0003,ARMSTRONG HOLDINGS INC,3ACKH,1109304
2189,3,19640331,20001210,I0003,BETHLEHEM STEEL CORP,3BHMSQ,11860
3619,3,19640331,20001210,I0003,CROWN HOLDINGS INC,CCK,1219601
5250,3,19640331,20001210,I0003,GRACE (W R) & CO,GRA,1045309
9548,3,19640331,20001210,I0003,SEAGRAM CO LTD,VO.3,88188
8657,3,19640331,20001211,I0003,PRIMARY PDC INC,PRDCQ,79326
10857,3,19640331,20010206,I0003,UNION CARBIDE CORP,DOW2,100790
8852,3,19640331,20010802,I0003,QUAKER OATS CO,OAT.,81371
10581,3,19640331,20010806,I0003,TIMKEN CO,TKR,98362
8151,3,19640331,20010829,I0003,ONEOK INC,OKE,1039684
10482,3,19640331,20011009,I0003,TEXACO INC,TX.2,97349
6127,3,19640331,20011129,I0003,ENRON CORP,ENRNQ,1024401
5686,3,19640331,20011216,I0003,HOMESTAKE MINING,HM,743872
4510,3,19640331,20020101,I0003,FMC CORP,FMC,37785
6307,3,19640331,20020116,I0003,SEARS HOLDINGS CORP,SHLD,1310067
7180,3,19640331,20020129,I0003,MEAD CORP,MEA.1,
7892,3,19640331,20020131,I0003,NIAGARA MOHAWK HOLDINGS INC,NMK,1079182
1243,3,19640331,20020721,I0003,ALCAN INC,AL.1,4285
5905,3,19640331,20020721,I0003,INCO LTD,INCLF,49996
9267,3,19640331,20020721,I0003,ROYAL DUTCH PETROLEUM NV,RDPL,85486
10846,3,19640331,20020721,I0003,UNILEVER NV,UN,110390
10301,3,19640331,20021211,I0003,TRW INC,TRW.1,100030
1045,3,19640331,20030313,I0003,AMERICAN AIRLINES GROUP INC,AAL,6201
5735,3,19640331,20030330,I0003,HSBC FINANCE CORP,HBC1,354964
7536,3,19640331,20030415,I0003,PHARMACIA CORP,PHA.1,67686
11535,3,19640331,20041202,I0003,WINN-DIXIE STORES INC,WINN,107681
3580,3,19640331,20041219,I0003,CRANE CO,CR,25445
9563,3,19640331,20050327,I0003,SEARS ROEBUCK & CO,S.1,319256
11038,3,19640331,20050810,I0003,UNOCAL CORP,UCL,716039
7127,3,19640331,20050828,I0003,MAY DEPARTMENT STORES CO,MAY.2,63416
5169,3,19640331,20051002,I0003,GILLETTE CO,G.1,41499
